index,molecule_chembl_id,canonical_smiles,standard_value
0,CHEMBL2111280,Nc1ncnc2c1cnn2[C@@H]1C=C[C@@H](O)[C@H]1O,100000.0
4,CHEMBL2111248,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,12200.0
7,CHEMBL2111283,Nc1ncnc2c1cnn2[C@H]1C[C@@H](O)[C@H](O)[C@@H]1O,53000.0
11,CHEMBL346319,Nc1ncnc2c1cnn2[C@@H]1C=C[C@H](O)C1,100000.0
13,CHEMBL2111249,Nc1ncnc2c1cnn2[C@H]1C=C[C@H](O)[C@@H]1O,100000.0
15,CHEMBL2051757,Nc1ncnc2c1ccn2[C@H]1C[C@@H](O)[C@H](O)[C@@H]1O,850.0
19,CHEMBL347186,Nc1ncnc2c1cnn2[C@H]1C=C[C@@H](O)C1,100000.0
23,CHEMBL2111282,C[C@@H]1C[C@H](n2ncc3c(N)ncnc32)[C@@H](O)[C@H]1O,100000.0
27,CHEMBL2111246,Nc1ncnc2c1cnn2[C@@H]1C[C@H](O)[C@@H](O)[C@H]1O,100000.0
29,CHEMBL2111247,Nc1ncnc2c1cnn2[C@@H]1CC[C@@H](O)[C@H]1O,100000.0
33,CHEMBL44025,CCC(C)CNCCCNCCCCCCCNCCCNCC(C)CC,31.0
36,CHEMBL43390,C1CCCC(CNCCCNCC2CCCC(CNCCCNCC3CCCCCC3)C2)CC1,3250.0
40,CHEMBL43494,N[C@H]1C=CC(NCCCNCC2CC2)C1,100000.0
42,CHEMBL44040,CCNCCCNCC1CCCC(N)CC1,100000.0
44,CHEMBL43495,CCNCCCNCCCCCCCNCCCNC[C@@H](C)CC,310.0
47,CHEMBL44083,CCNCCCNCCCNCCCNCC,100000.0
55,CHEMBL416078,CCNCCCNCCCCCCCNCCCNCC1CCCCCC1,18000.0
59,CHEMBL40258,c1ccc(CNCCCNCCCCCCCNCCCNCc2ccccc2)cc1,14500.0
63,CHEMBL296119,c1ccc(CNCCCNCC2CCCC(CNCCCNCc3ccccc3)C2)cc1,4050.0
67,CHEMBL40414,CCNCCCNC1C=CC(N)CCC1,100000.0
69,CHEMBL44039,C(CNCC1CC1)CNCC1CCCC(CNCCCNCC2CC2)C1,73000.0
73,CHEMBL289450,c1ccc(-c2ccccc2CNCCCNCCCCCCCNCCCNCc2ccccc2-c2ccccc2)cc1,240.0
77,CHEMBL296777,COc1ccccc1CNCCCNCCCCCCCNCCCNCc1ccccc1OC,22000.0
81,CHEMBL41629,C(CCCNCCCNCC1CCCCCC1)CCCNCCCNCC1CCCCCC1,125.0
85,CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7000.0
86,CHEMBL334695,CCCCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,1000.0
87,CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,5000.0
88,CHEMBL343127,CCCOc1cccc(Cc2cnc(N)nc2N)c1,13000.0
89,CHEMBL31547,CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,2000.0
90,CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1,14000.0
91,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,148000.0
