,molecule_chembl_id,valor_bioactividad,canonical_smiles,Peso_Molecular,LogP,Num_Donadores_H,Num_Aceptores,pIC50
0,CHEMBL2111280,inactivo,Nc1ncnc2c1cnn2[C@@H]1C=C[C@@H](O)[C@H]1O,233.23100000000002,-0.7588000000000006,3.0,7.0,4.0
1,CHEMBL2111248,inactivo,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,249.274,-0.28880000000000017,3.0,7.0,4.913640169325252
2,CHEMBL2111283,inactivo,Nc1ncnc2c1cnn2[C@H]1C[C@@H](O)[C@H](O)[C@@H]1O,251.246,-1.5640000000000005,4.0,8.0,4.275724130399211
3,CHEMBL346319,inactivo,Nc1ncnc2c1cnn2[C@@H]1C=C[C@H](O)C1,217.232,0.27039999999999986,2.0,6.0,4.0
4,CHEMBL2111249,inactivo,Nc1ncnc2c1cnn2[C@H]1C=C[C@H](O)[C@@H]1O,233.23100000000002,-0.7588000000000006,3.0,7.0,4.0
5,CHEMBL2051757,activo,Nc1ncnc2c1ccn2[C@H]1C[C@@H](O)[C@H](O)[C@@H]1O,250.25799999999998,-0.9590000000000003,4.0,7.0,6.070581074285707
6,CHEMBL347186,inactivo,Nc1ncnc2c1cnn2[C@H]1C=C[C@@H](O)C1,217.232,0.27039999999999986,2.0,6.0,4.0
7,CHEMBL2111282,inactivo,C[C@@H]1C[C@H](n2ncc3c(N)ncnc32)[C@@H](O)[C@H]1O,249.274,-0.28880000000000017,3.0,7.0,4.0
8,CHEMBL2111246,inactivo,Nc1ncnc2c1cnn2[C@@H]1C[C@H](O)[C@@H](O)[C@H]1O,251.246,-1.5640000000000005,4.0,8.0,4.0
9,CHEMBL2111247,inactivo,Nc1ncnc2c1cnn2[C@@H]1CC[C@@H](O)[C@H]1O,235.24699999999999,-0.5348000000000003,3.0,7.0,4.0
10,CHEMBL44025,activo,CCC(C)CNCCCNCCCCCCCNCCCNCC(C)CC,384.6970000000002,4.1677000000000035,4.0,4.0,7.508638306165727
11,CHEMBL43494,inactivo,N[C@H]1C=CC(NCCCNCC2CC2)C1,209.33699999999996,0.6214999999999997,3.0,3.0,4.0
12,CHEMBL44040,inactivo,CCNCCCNCC1CCCC(N)CC1,227.39599999999993,1.4831999999999996,3.0,3.0,4.0
13,CHEMBL43495,activo,CCNCCCNCCCCCCCNCCCNC[C@@H](C)CC,342.61600000000004,3.1415000000000015,4.0,4.0,6.508638306165727
14,CHEMBL44083,inactivo,CCNCCCNCCCNCCCNCC,244.42699999999996,0.5549000000000015,4.0,4.0,4.0
15,CHEMBL416078,inactivo,CCNCCCNCCCCCCCNCCCNCC1CCCCCC1,382.6810000000002,4.065800000000002,4.0,4.0,4.7447274948966935
16,CHEMBL40258,inactivo,c1ccc(CNCCCNCCCCCCCNCCCNCc2ccccc2)cc1,424.67700000000013,4.475900000000003,4.0,4.0,4.838631997765025
17,CHEMBL40414,inactivo,CCNCCCNC1C=CC(N)CCC1,211.35299999999995,1.0116,3.0,3.0,4.0
18,CHEMBL44039,inactivo,C(CNCC1CC1)CNCC1CCCC(CNCCCNCC2CC2)C1,364.6220000000002,2.751400000000001,4.0,4.0,4.136677139879544
