molecule_chembl_id,canonical_smiles,standard_value,valor_bioactividad
CHEMBL660279,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,50.0,activo
CHEMBL660279,C/C(=N\NC(N)=O)c1cccc(Cl)c1,10000.0,inactivo
CHEMBL816826,Nc1ncnc2c1cnn2[C@@H]1C=C[C@@H](O)[C@H]1O,100000.0,inactivo
CHEMBL660279,CC/C(=N\N=C(/S)NC)c1cccc(Br)c1,10000.0,inactivo
CHEMBL660279,S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,1000.0,activo
CHEMBL660279,CCC(N/N=C(/N)S)c1cccc(Br)c1,10000.0,inactivo
CHEMBL816825,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,12200.0,inactivo
CHEMBL660279,CC/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,10000.0,inactivo
CHEMBL660279,CC/C(=N\N=C(\N)S)c1ccccc1,10000.0,inactivo
CHEMBL660279,CC/C(=N\N=C(/S)NCCN1CCNCC1)c1cccc(Br)c1,10000.0,inactivo
CHEMBL660279,FC(F)(F)c1ccc(NC(=S)N2CCC(c3cccc(Br)c3)=N2)cc1,10000.0,inactivo
CHEMBL660279,CC/C(=N\N=C(/S)Nc1ccccc1)c1cccc(Br)c1,10000.0,inactivo
CHEMBL660279,CC/C(=N\NC(N)=O)c1cccc(Br)c1,10000.0,inactivo
CHEMBL660279,CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,20.0,activo
CHEMBL660279,CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,230.0,activo
CHEMBL660279,CC/C(=N\N=C(\N)S)c1ccc2cc(OC)ccc2c1,10000.0,inactivo
CHEMBL660279,N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,80.0,activo
CHEMBL660279,S=C(NCCN1CCOCC1)N1CCC(c2cccc(Br)c2)=N1,10000.0,inactivo
CHEMBL660279,S=C(NCc1ccco1)N1CCC(c2cccc(Br)c2)=N1,10000.0,inactivo
CHEMBL660279,C/C(=N\NC(N)=O)c1cccc(Br)c1,10000.0,inactivo
CHEMBL660279,N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,320.0,activo
CHEMBL660279,C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,60.0,activo
CHEMBL660279,CC/C(=N\NC(N)=O)c1cccc(Cl)c1,10000.0,inactivo
CHEMBL660279,NC(=O)N/N=C/c1ccc(-c2cccc(Cl)c2)o1,10000.0,inactivo
CHEMBL660279,COc1ccccc1-c1ccc(/C=N/N=C(/N)S)o1,280.0,activo
CHEMBL660279,N=C(S)N/N=C/c1ccccc1C(F)(F)F,10000.0,inactivo
CHEMBL660279,NC(=O)N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,10000.0,inactivo
CHEMBL660279,COc1cccc(/C(C)=N/N=C(/N)S)c1,10000.0,inactivo
CHEMBL660279,CC/C(=N\N=C(\N)S)c1ccc(OC)cc1,10000.0,inactivo
CHEMBL660279,CC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,10000.0,inactivo
CHEMBL660279,C/C(=N\NC(N)=O)c1ccc(Cl)c(Cl)c1,10000.0,inactivo
CHEMBL660279,N/C(S)=N/N=C/c1ccc(-c2cccc(Cl)c2)o1,140.0,activo
CHEMBL660279,N/C(S)=N/N=C/c1ccc(-c2ccc(Br)cc2)o1,280.0,activo
CHEMBL660279,C/C(=N\N=C(\N)S)c1cccc(Br)c1,200.0,activo
