,molecule_chembl_id,valor_bioactividad,canonical_smiles,Peso_Molecular,LogP,Num_Donadores_H,Num_Aceptores,pIC50
0,CHEMBL660279,activo,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,262.165,2.961900000000001,2.0,2.0,7.301029995663981
1,CHEMBL660279,inactivo,C/C(=N\NC(N)=O)c1cccc(Cl)c1,211.65200000000002,1.7322999999999997,2.0,2.0,5.0
2,CHEMBL816826,inactivo,Nc1ncnc2c1cnn2[C@@H]1C=C[C@@H](O)[C@H]1O,233.23100000000002,-0.7588000000000006,3.0,7.0,4.0
3,CHEMBL660279,inactivo,CC/C(=N\N=C(/S)NC)c1cccc(Br)c1,300.225,3.0684000000000013,2.0,2.0,5.0
4,CHEMBL660279,activo,S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,394.72499999999997,4.909300000000003,1.0,2.0,6.0
5,CHEMBL660279,inactivo,CCC(N/N=C(/N)S)c1cccc(Br)c1,288.21400000000006,2.6493,3.0,2.0,5.0
6,CHEMBL816825,inactivo,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,249.274,-0.28880000000000017,3.0,7.0,4.913640169325252
7,CHEMBL660279,inactivo,CC/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,259.23099999999994,2.487800000000001,2.0,2.0,5.0
8,CHEMBL660279,inactivo,CC/C(=N\N=C(\N)S)c1ccccc1,207.30200000000002,2.0452,2.0,2.0,5.0
9,CHEMBL660279,inactivo,CC/C(=N\N=C(/S)NCCN1CCNCC1)c1cccc(Br)c1,398.37399999999997,2.3438,3.0,4.0,5.0
10,CHEMBL660279,inactivo,FC(F)(F)c1ccc(NC(=S)N2CCC(c3cccc(Br)c3)=N2)cc1,428.277,5.274700000000003,1.0,2.0,5.0
11,CHEMBL660279,inactivo,CC/C(=N\N=C(/S)Nc1ccccc1)c1cccc(Br)c1,362.29600000000005,4.961100000000002,2.0,2.0,5.0
12,CHEMBL660279,inactivo,CC/C(=N\NC(N)=O)c1cccc(Br)c1,270.13,2.2315000000000005,2.0,2.0,5.0
13,CHEMBL660279,activo,CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,276.192,3.352000000000001,2.0,2.0,7.698970004336019
14,CHEMBL660279,activo,CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,253.75799999999998,2.8603700000000005,2.0,2.0,6.638272163982407
15,CHEMBL660279,inactivo,CC/C(=N\N=C(\N)S)c1ccc2cc(OC)ccc2c1,287.38800000000003,3.2070000000000016,2.0,3.0,5.0
16,CHEMBL660279,activo,N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,273.28299999999996,2.979770000000001,2.0,2.0,7.096910013008056
17,CHEMBL660279,inactivo,S=C(NCCN1CCOCC1)N1CCC(c2cccc(Br)c2)=N1,397.342,2.0656000000000008,1.0,4.0,5.0
18,CHEMBL660279,inactivo,S=C(NCc1ccco1)N1CCC(c2cccc(Br)c2)=N1,364.268,3.526600000000003,1.0,3.0,5.0
19,CHEMBL660279,inactivo,C/C(=N\NC(N)=O)c1cccc(Br)c1,256.103,1.8413999999999997,2.0,2.0,5.0
20,CHEMBL660279,activo,N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,315.24199999999996,3.512270000000001,3.0,2.0,6.494850021680094
21,CHEMBL660279,activo,C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,329.26899999999995,3.6927000000000003,2.0,2.0,7.221848749616356
